"SLSINTRA","GST INTRA SALE","Sales Accounts"
"SLSINTER","GST INTER SALE","Sales Accounts"
"TAXCGST","TAX CGST","Duties & Taxes"
"TAXSGST","TAX IGST","Duties & Taxes"
"TAXSGST","TAX SGST","Duties & Taxes"
"01","[01] Net Sales 18% GST","Sales Accounts"
"02","[02] 9% CGST Output","Duties & Taxes"
"03","[03] 9% SGST Output","Duties & Taxes"
"04","[04] 18% IGST Output","Duties & Taxes"
"51","[51] Nett Purch 18% GST","Purchase Accounts"
"52","[52] 9% CGST INPUT","Duties & Taxes"
"53","[53] 9% SGST INPUT","Duties & Taxes"
"54","[54] 18% IGST INPUT","Duties & Taxes"
