1,[01] Local Sales 18% GST,Sales Accounts
2,[02] 9% CGST Output,Duties & Taxes
3,[03] 9% SGST Output,Duties & Taxes
4,[04] Rounding Off,Sales Accounts
6,[06] Local Sales 28% GST,Sales Accounts
7,[07] 14% CGST Ouput Tax,Duties & Taxes
8,[08] 14% SGST Ouput Tax,Duties & Taxes
11,[11] Local Sales 12% GST,Sales Accounts
12,[12] 6% CGST Output Tax,Duties & Taxes
13,[13] 6% SGST Output Tax,Duties & Taxes
21,[21] OMS Sale 18% GST,Sales Accounts
22,[22] 18% IGST Output Tax,Duties & Taxes
25,[25] OMS Sale 28% GST,Sales Accounts
26,[26] 28% IGST Output Tax,Duties & Taxes
31,[31] OMS Sale 12% GST,Sales Accounts
32,[32] 12% IGST Output Tax,Duties & Taxes
51,[51] Local Purch 18% GST,Purchase Accounts
52,[52] 9% CGST INPUT TAX,Duties & Taxes
53,[53] 9% SGST INPUT TAX,Duties & Taxes
54,[54] Rounding Off,Purchase Accounts
56,[56] Local Purch 28% GST,Purchase Accounts
57,[57] 14% CGST INPUT TAX,Duties & Taxes
58,[58] 14% SGST INPUT TAX,Duties & Taxes
61,[61] Local Purch 12% GST,Purchase Accounts
62,[62] 6% CGST INPUT TAX,Duties & Taxes
63,[63] 6% SGST INPUT TAX,Duties & Taxes
71,[71] OMS Purch 18% GST,Purchase Accounts
72,[72] 18% IGST INPUT TAX,Duties & Taxes
73,[73] INWARD OTHR EXPENSES (Billed),Purchase Accounts
76,[76] OMS Purch 28% GST,Purchase Accounts
77,[77] 28% IGST INPUT TAX,Duties & Taxes
33,[33] 1%  EXPORTER SALES,Sales Accounts
34,[34] 0.05% CGST Output Tax,Duties & Taxes
35,[35] 0.05% SGST Output Tax,Duties & Taxes
