"3E SEPRATION SYSTEMS."," SUNDRY DEBT. OTHERS THAN MKT."
"A TO Z ENGINEERS"," Sundry Debtors"
"A.K.ENGINEERING CO."," Sundry Debtors"
"A.K.ENTERPRISES."," Sundry Debtors"
"A.N.ASSOCIATES."," Sundry Debtors"
"A.P. STEEL CORPORATION."," SUNDRY DEBT. OTHERS THAN MKT."
"A.S.TRADING CO."," Sundry Debtors"
"A.V. ENTERPRISE."," SUNDRY DEBT. OTHERS THAN MKT."
"A/C. RICHMOND & CO."," SUNDRY DEBT. OTHERS THAN MKT."
"A/C. TECHNODUCT INDIA."," SUNDRY DEBT. OTHERS THAN MKT."
"A/C. TEXASS ENGINEERS."," SUNDRY DEBT. OTHERS THAN MKT."
"ABC"," Sundry Debtors"
"ABSOLUTE SOLUTION."," SUNDRY DEBT. OMS."
"ADI ENGINEERS."," SUNDRY DEBT.MKT."
"AIE-TECH VALVES INDIA."," Sundry Debtors"
"AJMERA INVESTMENT CO."," Sundry Debtors"
"AKSHIT ENTERPRISE."," SUNDRY DEBT. OTHERS THAN MKT."
"ALEX CHEMICAL & INDUSTRIES."," Sundry Debtors"
"ALLANASONS PVT.LTD."," Sundry Debtors"
"ALLIED ENTERPRISES."," Sundry Debtors"
"ALLIED METAL & TUBES",""
"ALLIES FIRE SYSTEMS P.LTD."," Sundry Debtors"
"ALMEGA PAINTS Pvt Ltd."," SUNDRY DEBT. OMS."
"AMANAT STEELS P.LTD."," Sundry Debtors"
"AMAR SANITARY STORES."," SUNDRY DEBT.MKT."
"AMBAD INDUSTRIAL CORP."," Sundry Debtors"
"AMBIKA SANITARY."," Sundry Debtors"
"AMBIKA UKRANDE ENGINEERS"," Sundry Debtors"
"Amby Valley Ltd."," Sundry Debtors"
"AMEE ENTERPRISE."," Sundry Debtors"
"AMEY ENGINEERS."," Sundry Debtors"
"AMI'S."," Sundry Debtors"
"AMIN ENGINEERS."," Sundry Debtors"
"AMIT ENGINEERING CO."," SUNDRY DEBT. OTHERS THAN MKT."
"AMIT SALES CORP."," SUNDRY DEBT.MKT."
"AMIZARA ENTERPRISE"," Sundry Debtors"
"AMMU INDUSTRIES."," Sundry Debtors"
"AMP COMPUTER SERVICES."," Sundry Debtors"
"ANAND GINNING FACTORY."," Sundry Debtors"
"ANIKET TRADERS."," Sundry Debtors"
"Anita Traders"," SUNDRY DEBT. OTHERS THAN MKT."
"ANJALI SALES CORP."," Sundry Debtors"
"ANKIT MARKETING PVT. LTD."," SUNDRY DEBT. OTHERS THAN MKT."
"ANKUR TRADING CORP."," Sundry Debtors"
"APCO TRADING CO."," Sundry Debtors"
"APEX TRADING CO"," Sundry Debtors"
"Apexia Metal"," Sundry Debtors"
"APSARA ART MATERIALS PVT.LTD.(UMG)"," Hindustan Group of Co"
"APSARA PLASTICS PVT LTD."," Hindustan Group of Co"
"APSARA WOOD IND PVT LTD."," Hindustan Group of Co"
"AQUAMAC ENTERPRISES."," Sundry Debtors"
"AQUASPHEREGREENTECH SOLU PVT LTD."," SUNDRY DEBT. OMS."
"Arihant Source Corp."," Sundry Debtors"
"ARTWOK."," Sundry Debtors"
"ARYAN INDUSTRIES."," Sundry Debtors"
"ASBESTOSE AND ALLIEDS."," SUNDRY DEBT. OTHERS THAN MKT."
"ASHAPURA TRADING CO."," SUNDRY DEBT.MKT."
"ASHAPURA VALVES & BOILER MOUNTINGS."," SUNDRY DEBT.MKT."
"ASHOK KUMAR BROS."," Sundry Debtors"
"ASHOK SANITARY WARE."," SUNDRY DEBT. OTHERS THAN MKT."
"ASHTAVINAYAK ENTERPRISES."," Sundry Debtors"
"ASHWINI ENTERPRISES."," Sundry Debtors"
